"keggcom","text"
"https://www.kegg.jp/entry/C00714","Pectin reduces environmental pollutant-induced obesity in mice through regulating gut microbiota: A case study of p,p&#39;-DDE"
"https://www.kegg.jp/entry/C00016","Moreover, plasma OT level was lower in FAD women with obesity than in NFA subjects (p = 0.02)."
"https://www.kegg.jp/entry/C00155","Homocysteine, iron and cardiovascular disease: a hypothesis"
"https://www.kegg.jp/entry/C00504","Folic acid is an important vitamin in human nutrition and its deficiency in pregnant women's diets results in neural tube defects and other neurological damage to the fetus."
"https://www.kegg.jp/entry/C05443","The OR for having resistant hypertension and chronic kidney disease, older age and obesity were 2.5 (95% CI 1.5-4; &gt;i&lt;P&gt;/i&lt; &lt; 0.0003), 1.034 (95% CI 1.02-1.07; &gt;i&lt;P&gt;/i&lt; &lt; 0.0001) and 1.048 (95% CI 1.02-1.07; &gt;i&lt;P&gt;/i&lt; &lt; 0.0001) respectively.&gt;b&lt;Conclusion&gt;/b&lt;: This study found a statistically significant association between vitamin D deficiency and resistant hypertension.&gt;b&lt;Abbreviations:&gt;/b&lt; US, United States; NHANES, National Health and Nutrition Examination Survey; UVB, ultraviolet B; PTH, parathyroid hormone; IRB, Institutional Review Board; NCHS, National Centers for Health Statistics; BMI, body mass index; BP, blood pressure; ACE, angiotensin-converting-enzyme; RIA, Radio Immuno Assay; SAS, Statistical Analysis System; 25(OH)D or 25OHD3, 25-hydroxycholecalciferol or 25-hydroxyvitamin D3 or calcifediol or calcidiol; Vitamin D3, cholecalciferol; OR, odds ratio; CI, confidence interval."
"https://www.kegg.jp/entry/C00037","Glycine Attenuates LPS-Induced Apoptosis and Inflammatory Cell Infiltration in Mouse Liver"
"https://www.kegg.jp/entry/C00155","Homocysteine is associated with severity of microvasculopathy in sickle cell disease patients"
"https://www.kegg.jp/entry/C00037","Plasma Glycine and Risk of Acute Myocardial Infarction in Patients With Suspected Stable Angina Pectoris"
"https://www.kegg.jp/entry/C00089","The Role of Fructose, Sucrose and High-fructose Corn Syrup in Diabetes"
"https://www.kegg.jp/entry/C00155","Background:                    Homocysteine is an intermediate metabolite implicated in the risk of placenta-mediated complications, including preeclampsia, placental abruption, fetal growth restriction, and pregnancy loss."
"https://www.kegg.jp/entry/C16439","Leucine coingestion further augments the postexercise muscle protein synthetic response to the ingestion of a single 15-g bolus of protein in older men."
"https://www.kegg.jp/entry/C16439","Leucine coingestion augments the muscle protein synthetic response to the ingestion of 15 g of protein following resistance exercise in older men"
"https://www.kegg.jp/entry/C00155","Homocysteine &gt;14 μmol was associated with a 272 % increased dementia risk (HR = 3.72, 95 % CI 1.06-13.08)."
"https://www.kegg.jp/entry/C00155","Homocysteine was measured at baseline in 201 individuals born in 1921 and without dementia at age 77 years and followed up to age 88 years."
"https://www.kegg.jp/entry/C00155","Homocysteine, antioxidant micronutrients and late onset dementia"
"https://www.kegg.jp/entry/C00379","Xylitol has been widely documented to have dental health benefits, such as reducing the risk for dental caries."
"https://www.kegg.jp/entry/C00379","Xylitol also modulates the immune system, which, together with its antimicrobial activity contribute to a reduced respiratory tract infection, sinusitis, and otitis media risk."
"https://www.kegg.jp/entry/C00504","Folic acid also ameliorates hyperhomocysteinemia, which is a consequence of elevated levels of homocysteine."
"https://www.kegg.jp/entry/C05443","Vitamin D Receptor Genetic Variation and Cancer Biomarkers among Breast Cancer Patients Supplemented with Vitamin D3: A Single-Arm Non-Randomized Before and After Trial"
"https://www.kegg.jp/entry/C05443","The Effect of Vitamin D3 Supplementation on Serum BDNF, Dopamine, and Serotonin in Children with Attention-Deficit/Hyperactivity Disorder"
"https://www.kegg.jp/entry/C00047","Circulating and Extracellular Vesicles Levels of N-(1-Carboxymethyl)-L-Lysine (CML) Differentiate Early to Moderate Alzheimer&#39;s Disease"
"https://www.kegg.jp/entry/C05443","Vitamin D3 supplementation was found to have no effect on the risk for recurrent diarrheal disease in either intention-to-treat (HR, 1.05; 95% CI, 0.98-1.17; P = .15) or per protocol (HR, 1.05; 95% CI, 0.98-1.12; P = .14) analyses."
"https://www.kegg.jp/entry/C00025","Conclusion:                    Glutamate level may represent an interesting potential biomarker of abdominal obesity and metabolic risk."
"https://www.kegg.jp/entry/C00025","Glutamate was strongly correlated with WC (r = 0.66 for men; r = 0.76 for women, both p &lt; 0.0001) and multiple markers of metabolic dysfunction, particularly fasting triglyceride level (r = 0.59 for men; r = 0.57 for women, both p &lt; 0.0001), HDL-cholesterol level (r = -0.45, p &lt; 0.0001 in both sexes) and the HOMA-IR index (r = 0.65 for men; r = 0.60 for women, both p &lt; 0.0001)."
"https://www.kegg.jp/entry/C00120","Biotin and carnitine deficiency due to hypoallergenic formula nutrition in infants with milk allergy"
"https://www.kegg.jp/entry/C00155","Homocysteine and carotid plaque stability: a cross-sectional study in Chinese adults"
"https://www.kegg.jp/entry/C00155","Conclusion:                    Homocysteine levels were positively associated and dietary folate intake was inversely associated with risk of PAD in men but not in women."
"https://www.kegg.jp/entry/C00072","Ascorbate- and zinc-responsive parkinsonism"
"https://www.kegg.jp/entry/C05443","Vitamin D3 (cholecalciferol) can be either synthesized in the human skin upon exposure to the UV light of the sun, or it is obtained from the diet."
"https://www.kegg.jp/entry/C00253","Nicotinic acid (NA) can be metabolized to NAD&gt;sup&lt;+&gt;/sup&lt;; however, the calorie restriction mimetic (CRM) potential of NA is unclear."
"https://www.kegg.jp/entry/C16439","The Effects of Timing of a Leucine-Enriched Amino Acid Supplement on Body Composition and Physical Function in Stroke Patients: A Randomized Controlled Trial"
"https://www.kegg.jp/entry/C00089","The Janus Face of Cereals: Wheat-Derived Prebiotics Counteract the Detrimental Effect of Gluten on Metabolic Homeostasis in Mice Fed a High-Fat/High-Sucrose Diet"
"https://www.kegg.jp/entry/C00155","Elevated Total Homocysteine Levels in Acute Ischemic Stroke Are Associated With Long-Term Mortality"
"https://www.kegg.jp/entry/C05443","Single High-dose Vitamin D3 Supplementation in Pediatric Patients With Inflammatory Bowel Disease and Hypovitaminosis D"
"https://www.kegg.jp/entry/C00714","Pectin from apple inhibits the BabA and LPS-mediated adhesion of H. pylori to human stomach cells."
"https://www.kegg.jp/entry/C00155","Introduction:                    Homocysteine levels have been associated with major depression, but associations with bipolar disorder remain less clear."
"https://www.kegg.jp/entry/C00155","Homocysteine as a potential biomarker in bipolar disorders: a critical review and suggestions for improved studies"
"https://www.kegg.jp/entry/C00155","Homocysteine Status Modifies the Treatment Effect of Omega-3 Fatty Acids on Cognition in a Randomized Clinical Trial in Mild to Moderate Alzheimer&#39;s Disease: The OmegAD Study"
"https://www.kegg.jp/entry/C00504","Folic acid treatment significantly reduced the risk of first ischemic stroke in participants with both folate and B&gt;sub&lt;12&gt;/sub&lt; below the median (2.3% in enalapril-folic acid group vs 3.6% in enalapril-only group; HR, 0.62; 95% CI, 0.46-0.86), particularly in &gt;i&lt;MTHFR&gt;/i&lt; 677 CC carriers (1.6% vs 4.9%; HR, 0.24; 95% CI, 0.11-0.55)."
"https://www.kegg.jp/entry/C16439","Leucine-enriched amino acid ingestion after resistance exercise prolongs myofibrillar protein synthesis and amino acid transporter expression in older men"
"https://www.kegg.jp/entry/C00089","Relation of Total Sugars, Sucrose, Fructose, and Added Sugars With the Risk of Cardiovascular Disease: A Systematic Review and Dose-Response Meta-analysis of Prospective Cohort Studies"
"https://www.kegg.jp/entry/C16439","Leucine restriction (LR) also improved glucose tolerance, increased hepatic release of fibroblast growth factor 21 into the blood stream, and enhanced insulin-dependent activation of Akt in liver."
"https://www.kegg.jp/entry/C00089","&quot;Sucrose, fructose, glucose and their link to metabolic syndrome and cancer&quot;"
"https://www.kegg.jp/entry/C00369","Methods:                    Deoxyribonucleic acid was extracted from urine (n = 74) and serum (n = 6) samples (Protein, Fiber and Metabolic Syndrome [ProFiMet] cohort), and buccal (n = 17) samples (Oral Starch Challenge [OSC] cohort), and assessed for AMY1 CN by droplet digital polymerase chain reaction."
"https://www.kegg.jp/entry/C00378","In response: Letter on update to the Vitamin C, Thiamine and Steroids in Sepsis (VICTAS) protocol"
"https://www.kegg.jp/entry/C00025","At baseline and 6 weeks, subjects underwent MRS at 3 T to investigate changes in brain chemistry, including the neurometabolites: GSH, Glutamate (Glu), Glutamine (Gln) and N-Acetylaspartate (NAA)."
"https://www.kegg.jp/entry/C00155","Homocysteine and small vessel stroke: A mendelian randomization analysis"
"https://www.kegg.jp/entry/C05443","Safety and Efficacy of High-dose Daily Vitamin D3 Supplementation in Children and Young Adults With Sickle Cell Disease"
"https://www.kegg.jp/entry/C00378","Thiamine, a water-soluble vitamin also known as vitamin B1, is a critical cofactor in energy metabolism and may be competitively inhibited by the antimetabolite oxythiamine, a uremic toxin that accumulates in kidney failure."
"https://www.kegg.jp/entry/C16439","Methods:                    We conducted a pragmatic, bicentric, randomized (1:1), assessor-blind controlled trial (Protein, Leucine and Vitamin D Enhancing Rehabilitation [PRO-LEADER]; April 2017 to January 2018) in cognitively intact patients with PD or parkinsonism and undergoing a 30-day MIRT."
"https://www.kegg.jp/entry/C00504","Results:                    Folic acid interventions in Ethiopia would have prevented about 41,610 cases of folic acid-preventable spina bifida and anencephaly-affected pregnancies during the year 2016."
"https://www.kegg.jp/entry/C16439","Leucine-enriched essential amino acid supplementation in mechanically ventilated trauma patients: a feasibility study"
"https://www.kegg.jp/entry/C00378","Methods and design:                    The Vitamin C, Thiamine and Steroids in Sepsis (VICTAS) trial is a multicenter, double-blind, adaptive sample size, randomized, placebo-controlled trial designed to test the efficacy of combination therapy with vitamin C (1.5 g), thiamine (100 mg), and hydrocortisone (50 mg) given every 6 h for up to 16 doses in patients with respiratory or circulatory dysfunction (or both) resulting from sepsis."
"https://www.kegg.jp/entry/C00378","Update to the Vitamin C, Thiamine and Steroids in Sepsis (VICTAS) protocol: statistical analysis plan for a prospective, multicenter, double-blind, adaptive sample size, randomized, placebo-controlled, clinical trial"
"https://www.kegg.jp/entry/C00078","NAD+-Precursor Supplementation With L-Tryptophan, Nicotinic Acid, and Nicotinamide Does Not Affect Mitochondrial Function or Skeletal Muscle Function in Physically Compromised Older Adults"
"https://www.kegg.jp/entry/C00155","Very High Plasma Homocysteine without Malnutrition or Inherited Disorder"
"https://www.kegg.jp/entry/C00155","Homocysteine concentrations are associated with the incidence of stroke but other sulfur-containing compounds in the related metabolic pathway have not yet been investigated for an association with incident cerebrovascular diseases."
"https://www.kegg.jp/entry/C00089","The Impact of a Diet Containing Sucrose and Systematically Repeated Starvation on the Oxidative Status of the Uterus and Ovary of Rats"
"https://www.kegg.jp/entry/C00255","Suboptimal Biochemical Riboflavin Status Is Associated with Lower Hemoglobin and Higher Rates of Anemia in a Sample of Canadian and Malaysian Women of Reproductive Age"
"https://www.kegg.jp/entry/C00025","Background and aims:                    Glutamate, glutamine are involved in energy metabolism, and have been related to cardiometabolic disorders."
"https://www.kegg.jp/entry/C00062","Effects of Beetroot Powder with or without L-Arginine on Postprandial Vascular Endothelial Function: Results of a Randomized Controlled Trial with Abdominally Obese Men"
"https://www.kegg.jp/entry/C00794","Methods:                    Sorbitol was estimated by the fluorometric method in the retina of WNIN/Ob rats at different age (3-, 6- and 12- months), along with their respective lean rats."
"https://www.kegg.jp/entry/C02477","Dynamics of Serum Retinol and Alpha-Tocopherol Levels According to Non-Alcoholic Fatty Liver Disease Status"
"https://www.kegg.jp/entry/C00369","Starch digestibility was lower (&gt;i&lt;p&gt;/i&lt; &lt; 0.05) for dogs fed the basic diet + corn meal."
"https://www.kegg.jp/entry/C16439","A Diet Rich in Fish Oil and Leucine Ameliorates Hypercalcemia in Tumour-Induced Cachectic Mice"
"https://www.kegg.jp/entry/C00504","Folic acid concentrations increased and the percentage of individuals with glucose (40.4% to 3.7%), triglycerides (38% to 7.4%), HDL cholesterol (31 % to 7.4%) and uric acid (70.5% to 11.1%) abnormalities reduced."
"https://www.kegg.jp/entry/C00318","Liver-Oriented Acute Metabolic Effects of A Low Dose of L-Carnitine under Fat-Mobilizing Conditions: Pilot Human Clinical Trial"
"https://www.kegg.jp/entry/C16439","Leucine, a branched amino acid, has anti-obesity effects on glucose tolerance, lipid metabolism, and insulin sensitivity."
"https://www.kegg.jp/entry/C16439","Leucine also modulates mitochondrial dysfunction, representing a new strategy to target aging, neurodegenerative disease, obesity, diabetes, and cardiovascular disease."
"https://www.kegg.jp/entry/C00504","Folic acid in pregnancy and mortality from cancer and cardiovascular disease: further follow-up of the Aberdeen folic acid supplementation trial"
"https://www.kegg.jp/entry/C00378","Thiamine treatment also decreased hyperglycemia and increased the glycogen content of the liver, but it did not improve insulin sensitivity, suggesting that steatosis can be addressed independently of targeting insulin resistance."
"https://www.kegg.jp/entry/C00089","Sucrose consumption can cause obesity and nonalcoholic fatty liver disease (NAFLD)."
"https://www.kegg.jp/entry/C00378","Methods:                    The Vitamin C, Thiamine and Steroids in Sepsis (VICTAS) trial is a prospective, multi-center, double-blind, adaptive sample size, randomized, placebo-controlled trial."
